date,high,low,opening_price,closing_price,volume
29-05-11 0:00,8.3,8.1,8.2,8.2,370000
26-05-11 0:00,8.2,8,8.2,8.1,432000
25-05-11 0:00,8.2,8,8,8,634500
24-05-11 0:00,8.2,8,8.2,8.1,387500
23-05-11 0:00,8.3,8,8.2,8,582500
22-05-11 0:00,8.3,8.2,8.2,8.2,642500
19-05-11 0:00,8.6,8.3,8.4,8.4,415500
18-05-11 0:00,8.6,8.4,8.6,8.4,371500
16-05-11 0:00,8.7,8.5,8.5,8.5,238000
15-05-11 0:00,8.7,8.4,8.5,8.6,676500
12-05-11 0:00,8.5,8.3,8.3,8.4,720000
11-05-11 0:00,8.5,8.3,8.4,8.3,1362000
10-05-11 0:00,8.9,8.5,8.8,8.5,202000
09-05-11 0:00,8.9,8.2,8.9,8.7,689500
08-05-11 0:00,8.9,8.6,8.8,8.6,660000
05-05-11 0:00,9.1,8.8,9.1,8.8,383500
04-05-11 0:00,9.1,8.8,9,8.9,632500
03-05-11 0:00,8.9,8.7,8.8,8.8,204500
27-04-11 0:00,9.1,8.7,8.8,9,510500
26-04-11 0:00,9,8.8,8.8,8.8,345500
25-04-11 0:00,9,8.8,8.8,8.9,757500
24-04-11 0:00,9.1,8.8,9,8.9,578500
21-04-11 0:00,9.2,9,9,9,371500
20-04-11 0:00,9.5,8.9,9.5,9,959000
19-04-11 0:00,9.7,9.2,9.4,9.2,807000
18-04-11 0:00,9.7,9.3,9.3,9.4,1371000
17-04-11 0:00,9.5,9.1,9.2,9.3,989500
13-04-11 0:00,9.5,9,9.1,9.2,1084000
12-04-11 0:00,9.2,8.9,9.2,9,333500
11-04-11 0:00,9.7,8.9,9,9,2292000
10-04-11 0:00,9.2,8.8,8.9,8.9,1551500
07-04-11 0:00,9,8.8,8.9,8.8,574000
06-04-11 0:00,8.9,8.7,8.7,8.8,539000
05-04-11 0:00,9,8.7,8.8,8.7,1030000
04-04-11 0:00,9,8.8,9,8.8,574000
03-04-11 0:00,9,8.8,8.9,8.8,459500
31-03-11 0:00,9,8.8,9,8.8,534500
30-03-11 0:00,9.1,8.8,9,8.8,440000
29-03-11 0:00,9.3,8.9,9.2,8.9,474500
28-03-11 0:00,9.2,8.9,8.9,9,673500
27-03-11 0:00,9.1,8.8,8.9,8.9,687000
24-03-11 0:00,9.1,8.8,9.1,8.9,1162500
23-03-11 0:00,9.3,8.9,9.1,8.9,1116000
22-03-11 0:00,9.5,9.1,9.4,9.1,571000
21-03-11 0:00,9.5,9.1,9.5,9.1,797000
20-03-11 0:00,9.6,9.2,9.6,9.2,1089500
16-03-11 0:00,9.6,9.3,9.5,9.3,1011500
15-03-11 0:00,10,9.4,10,9.5,1005500
14-03-11 0:00,9.9,9.3,9.5,9.7,801500
13-03-11 0:00,10.1,9.4,9.9,9.4,1174500
10-03-11 0:00,10.3,9.5,9.5,10.1,1969000
09-03-11 0:00,10,9.4,9.4,9.9,2002500
08-03-11 0:00,9.8,9.2,9.2,9.6,1576500
07-03-11 0:00,9.6,9.1,9.4,9.3,1195500
06-03-11 0:00,9.4,8.8,9.3,9.1,602500
03-03-11 0:00,9.3,8.6,8.8,9,750500
02-03-11 0:00,9.8,8.8,9.8,8.8,1418000
01-03-11 0:00,9.3,9,9,9.3,840000
28-02-11 0:00,9.3,8.4,8.9,8.5,1463500
27-02-11 0:00,9.3,8.5,9.1,8.7,1759500
22-02-11 0:00,10.3,9.6,10.3,9.6,1223500
20-02-11 0:00,10.3,9.8,9.8,10.1,1084500
15-02-11 0:00,9.7,8.9,9.4,9.6,1564000
14-02-11 0:00,9.6,8.8,9.6,8.9,1116000
13-02-11 0:00,10,9.5,9.9,9.7,1578500
10-02-11 0:00,10.3,9.9,10.1,9.9,1231500
09-02-11 0:00,10.7,10.1,10.6,10.1,1193500
08-02-11 0:00,10.7,9.9,10.2,10.5,1133500
07-02-11 0:00,10.2,9.9,10.1,10,1558000
06-02-11 0:00,10.4,10,10.3,10.1,1637500
03-02-11 0:00,10.6,10.2,10.5,10.4,1450000
02-02-11 0:00,10.7,10.4,10.5,10.4,993000
01-02-11 0:00,10.8,10.5,10.7,10.5,1427000
31-01-11 0:00,11.1,10.7,11.1,10.7,1537000
30-01-11 0:00,11.2,10.7,10.7,11,1683000
27-01-11 0:00,11,10.7,11,10.7,1300000
26-01-11 0:00,11.5,11.1,11.5,11.1,1475500
25-01-11 0:00,11,10.6,10.9,11,855000
20-01-11 0:00,10.1,9.9,10.1,10,96000
19-01-11 0:00,11.5,10.5,11.5,10.7,874000
18-01-11 0:00,11.1,10.8,11,10.8,580500
17-01-11 0:00,11.5,10.9,11.5,11,1472000
16-01-11 0:00,11.5,10.8,11.5,11,3476000
13-01-11 0:00,11.8,11.2,11.2,11.5,1592500
12-01-11 0:00,12.5,11.2,12.3,11.5,3611000
